,,Conv,,,Strassen,,,StrassenSeuil,,,,,,,,
,,,,,,,,,,,,64,128,256,512,1024
10,512,31.8736934662,1.5034323917,,144.8374838829,2.1608809716,,21.6612045765,1.335682604,,,,,,,
,,Moyenne,1.5050560246,,Moyenne,2.1643771094,,Moyenne,1.3358038472,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Conv,,,Strassen,,,StrassenSeuil,,,,,,,,
,,,,,,,,,,,,,,,,
1,1024,288.1628775597,2.4596380323,,958.4605126381,2.9815742252,,157.5015909672,2.1972849451,,,,,,,
2,1024,290.3883609772,2.4629792055,,936.8430974483,2.9716668613,,158.2505197525,2.1993451451,,,,,,,
3,1024,291.1113319397,2.4640591113,,923.593985796,2.9654810962,,158.7616789341,2.200745683,,,,,,,
4,1024,287.4550988674,2.4585700165,,920.9040753841,2.9642143949,,159.1338288784,2.2017625124,,,,,,,
5,1024,287.9086267948,2.4592546781,,920.6385583878,2.9640891602,,160.7061560154,2.2060325132,,,,,,,
6,1024,273.492118597,2.4369448155,,923.2411859036,2.9653151702,,158.3830900192,2.1997088117,,,,,,,
7,1024,271.4673895836,2.4337176668,,919.0890107155,2.9633575734,,157.4907858372,2.19725515,,,,,,,
8,1024,269.9206905365,2.4312361763,,925.3302750587,2.9662967717,,158.5190272331,2.2000813986,,,,,,,
9,1024,271.486520052,2.4337482707,,917.0644154549,2.962399842,,158.1353075504,2.1990288476,,,,,,,
10,1024,268.9655511379,2.4296966595,,923.5860893726,2.9654773832,,157.8134617805,2.1981440466,,,,,,,
,,Moyenne,2.4469844633,,Moyenne,2.9669872478,,Moyenne,2.1999389053,,,,,,,
